hr,rr,spo2,temp,time
74,17,96,36.6,2021/03/05 19:14:41
73,20,94,37.2,2021/03/05 19:14:44
86,18,93,36.7,2021/03/05 19:14:47
102,16,98,37.1,2021/03/05 19:14:50
92,16,91,36.8,2021/03/05 19:14:53
113,16,98,37,2021/03/05 19:14:56
106,19,95,37.4,2021/03/05 19:14:59
75,19,89,36.6,2021/03/05 19:15:02
73,23,95,36.8,2021/03/05 19:15:05
84,17,92,37.5,2021/03/05 19:15:08
97,20,91,37.1,2021/03/05 19:15:11
80,22,90,37.2,2021/03/05 19:15:14
85,17,95,37.5,2021/03/05 19:15:17
72,16,93,36.7,2021/03/05 19:15:20
82,21,90,37.1,2021/03/05 19:15:23
73,16,94,36.4,2021/03/05 19:15:26
86,20,89,37.2,2021/03/05 19:15:29
109,17,94,36.7,2021/03/05 19:15:32
82,18,98,37.9,2021/03/05 19:15:35
102,17,93,37.6,2021/03/05 19:15:38
79,17,96,36.9,2021/03/05 19:15:41
83,17,96,37.4,2021/03/05 19:15:44
62,19,90,37.1,2021/03/05 19:15:47
70,19,98,37.4,2021/03/05 19:15:50
115,16,90,37.6,2021/03/05 19:15:53
70,18,98,36.3,2021/03/05 19:15:56
93,21,96,36.3,2021/03/05 19:15:59
96,16,97,37.8,2021/03/05 19:16:02
97,22,97,37.6,2021/03/05 19:16:05
109,23,89,37.7,2021/03/05 19:16:08
87,16,89,38,2021/03/05 19:16:11
84,21,93,37.7,2021/03/05 19:16:14
111,23,99,36.4,2021/03/05 19:16:17
112,20,91,37.9,2021/03/05 19:16:20
111,22,95,36.9,2021/03/05 19:16:23
85,19,92,36.6,2021/03/05 19:16:26
76,22,90,37.3,2021/03/05 19:16:29
69,16,95,37.5,2021/03/05 19:16:32
77,15,91,37.6,2021/03/05 19:16:35
106,17,93,36.1,2021/03/05 19:16:38
82,14,95,37.3,2021/03/05 19:16:41
81,22,96,37.4,2021/03/05 19:16:44
114,21,99,37.7,2021/03/05 19:16:47
80,22,97,37.7,2021/03/05 19:16:50
67,14,96,36.4,2021/03/05 19:16:53
88,21,94,36.6,2021/03/05 19:16:56
87,13,97,37.5,2021/03/05 19:16:59
80,22,92,36.2,2021/03/05 19:17:02
70,21,95,37.2,2021/03/05 19:17:05
79,18,94,37,2021/03/05 19:17:08
88,16,89,37.6,2021/03/05 19:17:11
60,16,92,37.5,2021/03/05 19:17:14
109,22,91,37.8,2021/03/05 19:17:17
66,22,91,36.4,2021/03/05 19:17:20
94,17,92,36.3,2021/03/05 19:17:23
77,13,96,37,2021/03/05 19:17:26
72,17,97,37.7,2021/03/05 19:17:29
74,15,95,37.2,2021/03/05 19:17:32
72,20,90,36.3,2021/03/05 19:17:35
109,17,91,36.1,2021/03/05 19:17:38
64,18,96,36.6,2021/03/05 19:17:41
98,19,90,36.8,2021/03/05 19:17:44
102,17,96,36,2021/03/05 19:17:47
73,20,91,36.2,2021/03/05 19:17:50
95,14,95,36.6,2021/03/05 19:17:53
92,13,97,36.1,2021/03/05 19:17:56
88,20,91,36.1,2021/03/05 19:17:59
103,15,94,37.4,2021/03/05 19:18:02
80,17,97,37.8,2021/03/05 19:18:05
63,20,96,37.6,2021/03/05 19:18:08
88,20,97,36,2021/03/05 19:18:11
103,13,92,37.6,2021/03/05 19:18:14
73,19,94,36.6,2021/03/05 19:18:17
90,15,94,36.5,2021/03/05 19:18:20
86,22,94,37.1,2021/03/05 19:18:23
113,19,91,36.3,2021/03/05 19:18:26
106,24,97,37.9,2021/03/05 19:18:29
96,15,97,36,2021/03/05 19:18:32
96,14,96,37.7,2021/03/05 19:18:35
110,16,92,37.2,2021/03/05 19:18:38
65,17,92,37,2021/03/05 19:18:41
65,14,96,36.8,2021/03/05 19:18:44
90,16,94,37.2,2021/03/05 19:18:47
106,17,92,37.1,2021/03/05 19:18:50
96,14,90,37.1,2021/03/05 19:18:53
72,20,97,36.2,2021/03/05 19:18:56
98,21,97,36.7,2021/03/05 19:18:59
91,24,92,37.3,2021/03/05 19:19:02
91,20,92,37.4,2021/03/05 19:19:05
111,23,94,37.4,2021/03/05 19:19:08
73,22,92,38,2021/03/05 19:19:11
101,15,94,36.8,2021/03/05 19:19:14
108,24,95,37.4,2021/03/05 19:19:17
63,14,92,37.8,2021/03/05 19:19:20
70,23,92,37.2,2021/03/05 19:19:23
104,16,99,37.8,2021/03/05 19:19:26
102,21,93,37.2,2021/03/05 19:19:29
66,16,99,36.2,2021/03/05 19:19:32
99,19,97,37,2021/03/05 19:19:35
66,19,91,37,2021/03/05 19:19:38
62,19,91,36.7,2021/03/05 19:19:41
111,16,90,37.6,2021/03/05 19:19:44
101,19,96,36.5,2021/03/05 19:19:47
99,22,98,37.9,2021/03/05 19:19:50
81,20,94,37.5,2021/03/05 19:19:53
82,21,98,36.3,2021/03/05 19:19:56
102,20,91,37.5,2021/03/05 19:19:59
72,18,91,36.3,2021/03/05 19:20:02
90,17,96,37,2021/03/05 19:20:05
98,21,94,37,2021/03/05 19:20:08
107,23,99,37.7,2021/03/05 19:20:11
61,22,90,36.7,2021/03/05 19:20:14
87,22,91,38,2021/03/05 19:20:17
89,16,95,38,2021/03/05 19:20:20
112,21,91,36.5,2021/03/05 19:20:23
103,19,91,37.6,2021/03/05 19:20:26
95,15,95,36.1,2021/03/05 19:20:29
86,15,93,37,2021/03/05 19:20:32
97,14,94,36.5,2021/03/05 19:20:35
98,20,88,36.9,2021/03/05 19:20:38
62,19,98,37.9,2021/03/05 19:20:41
76,21,99,37.2,2021/03/05 19:20:44
106,22,96,36.7,2021/03/05 19:20:47
75,17,96,36.2,2021/03/05 19:20:50
82,14,90,37.5,2021/03/05 19:20:53
77,21,90,37.2,2021/03/05 19:20:56
99,21,93,36.7,2021/03/05 19:20:59
70,19,91,37.4,2021/03/05 19:21:02
84,16,95,37.2,2021/03/05 19:21:05
71,16,92,37.4,2021/03/05 19:21:08
94,21,90,37,2021/03/05 19:21:11
99,15,94,36.4,2021/03/05 19:21:14
96,17,90,36.3,2021/03/05 19:21:17
81,21,89,36.1,2021/03/05 19:21:20
71,21,93,37,2021/03/05 19:21:23
66,19,96,37.4,2021/03/05 19:21:26
94,16,94,36.1,2021/03/05 19:21:29
98,21,90,37.9,2021/03/05 19:21:32
70,21,91,36.9,2021/03/05 19:21:35
63,13,91,37.9,2021/03/05 19:21:38
94,17,96,36.6,2021/03/05 19:21:41
109,22,96,37.9,2021/03/05 19:21:44
103,23,97,37.7,2021/03/05 19:21:47
78,20,88,36.5,2021/03/05 19:21:50
83,20,98,36.7,2021/03/05 19:21:53
96,21,97,37.8,2021/03/05 19:21:56
82,16,95,37,2021/03/05 19:21:59
84,23,95,36.3,2021/03/05 19:22:02
63,20,95,37.3,2021/03/05 19:22:05
70,16,96,36.3,2021/03/05 19:22:08
84,22,96,37.1,2021/03/05 19:22:11
93,17,97,36.6,2021/03/05 19:22:14
67,15,93,37.2,2021/03/05 19:22:17
115,18,89,37.4,2021/03/05 19:22:20
95,13,93,36.9,2021/03/05 19:22:23
62,14,93,36.5,2021/03/05 19:22:26
112,23,95,37.2,2021/03/05 19:22:29
92,14,96,37.6,2021/03/05 19:22:32
110,20,95,36.9,2021/03/05 19:22:35
93,20,92,36.3,2021/03/05 19:22:38
71,16,90,37.4,2021/03/05 19:22:41
113,16,95,36.3,2021/03/05 19:22:44
71,13,90,37.4,2021/03/05 19:22:47
88,20,91,37.7,2021/03/05 19:22:50
107,16,92,37.4,2021/03/05 19:22:53
84,14,90,36,2021/03/05 19:22:56
114,18,99,36.5,2021/03/05 19:22:59
65,19,92,36.2,2021/03/05 19:23:02
104,14,95,37.3,2021/03/05 19:23:05
70,15,98,37.2,2021/03/05 19:23:08
106,16,94,36.9,2021/03/05 19:23:11
95,14,90,36.3,2021/03/05 19:23:14
105,17,96,37,2021/03/05 19:23:17
109,22,92,37.1,2021/03/05 19:23:20
107,24,98,36.3,2021/03/05 19:23:23
69,16,97,36.5,2021/03/05 19:23:26
65,14,95,36.5,2021/03/05 19:23:29
79,16,94,36.1,2021/03/05 19:23:32
87,15,89,36.4,2021/03/05 19:23:35
96,19,90,37.3,2021/03/05 19:23:38
86,22,96,36.1,2021/03/05 19:23:41
80,13,95,37.4,2021/03/05 19:23:44
66,19,88,37,2021/03/05 19:23:47
112,13,98,36.5,2021/03/05 19:23:50
82,18,92,36.9,2021/03/05 19:23:53
97,16,94,36.7,2021/03/05 19:23:56
69,17,89,37.8,2021/03/05 19:23:59
77,18,92,36.9,2021/03/05 19:24:02
78,18,94,37.1,2021/03/05 19:24:05
85,24,96,36.5,2021/03/05 19:24:08
88,15,91,38,2021/03/05 19:24:11
75,18,91,36.4,2021/03/05 19:24:14
105,16,94,37.1,2021/03/05 19:24:17
111,15,92,36.5,2021/03/05 19:24:20
99,18,93,37.3,2021/03/05 19:24:23
75,17,90,37.5,2021/03/05 19:24:26
82,18,88,36.8,2021/03/05 19:24:29
93,19,92,36.5,2021/03/05 19:24:32
68,20,93,37.7,2021/03/05 19:24:35
75,18,90,36.7,2021/03/05 19:24:38
98,15,93,36.5,2021/03/05 19:24:41
100,15,89,37.7,2021/03/05 19:24:44
94,15,94,36.6,2021/03/05 19:24:47
113,20,92,37.1,2021/03/05 19:24:50
105,17,89,37.6,2021/03/05 19:24:53
103,15,96,37.4,2021/03/05 19:24:56
78,21,96,36.5,2021/03/05 19:24:59
98,19,94,37.7,2021/03/05 19:25:02
67,13,97,36.6,2021/03/05 19:25:05
95,18,95,37,2021/03/05 19:25:08
92,19,93,37.4,2021/03/05 19:25:11
99,22,90,36.4,2021/03/05 19:25:14
94,18,96,37.1,2021/03/05 19:25:17
102,20,96,36.6,2021/03/05 19:25:20
95,14,95,36.7,2021/03/05 19:25:23
77,17,96,37.5,2021/03/05 19:25:26
110,21,97,37.6,2021/03/05 19:25:29
67,18,96,37.5,2021/03/05 19:25:32
66,18,98,37.2,2021/03/05 19:25:35
96,17,91,36.2,2021/03/05 19:25:38
113,23,89,37.4,2021/03/05 19:25:41
69,21,89,36.8,2021/03/05 19:25:44
93,18,93,36,2021/03/05 19:25:47
106,16,94,37,2021/03/05 19:25:50
93,21,90,36.4,2021/03/05 19:25:53
113,16,95,37.5,2021/03/05 19:25:56
66,20,92,37,2021/03/05 19:25:59
104,24,91,36.5,2021/03/05 19:26:02
73,20,97,36.5,2021/03/05 19:26:05
104,19,91,36.3,2021/03/05 19:26:08
86,22,92,37.4,2021/03/05 19:26:11
107,17,98,38,2021/03/05 19:26:14
105,23,94,37.4,2021/03/05 19:26:17
71,22,90,37.7,2021/03/05 19:26:20
63,23,89,36.1,2021/03/05 19:26:23
76,22,95,37.6,2021/03/05 19:26:26
111,16,97,36.5,2021/03/05 19:26:29
70,17,97,37.9,2021/03/05 19:26:32
107,21,90,37.6,2021/03/05 19:26:35
72,18,90,37.3,2021/03/05 19:26:38
85,21,95,37.4,2021/03/05 19:26:41
101,22,94,38,2021/03/05 19:26:44
65,22,96,36.2,2021/03/05 19:26:47
71,20,91,37.5,2021/03/05 19:26:50
112,14,96,37.4,2021/03/05 19:26:53
68,16,92,37.3,2021/03/05 19:26:56
81,22,98,36.4,2021/03/05 19:26:59
77,17,99,37.4,2021/03/05 19:27:02
66,17,90,37.9,2021/03/05 19:27:05
96,16,91,36.5,2021/03/05 19:27:08
104,16,99,36.7,2021/03/05 19:27:11
95,19,88,37.9,2021/03/05 19:27:14
78,21,91,37.6,2021/03/05 19:27:17
65,17,97,37.3,2021/03/05 19:27:20
88,21,93,36.9,2021/03/05 19:27:23
101,21,93,36.8,2021/03/05 19:27:26
63,16,93,37.8,2021/03/05 19:27:29
102,16,94,37.8,2021/03/05 19:27:32
72,16,90,37.4,2021/03/05 19:27:35
98,19,95,37.9,2021/03/05 19:27:38
67,22,94,37.8,2021/03/05 19:27:41
65,17,97,37,2021/03/05 19:27:44
111,17,90,36.5,2021/03/05 19:27:47
82,23,92,36,2021/03/05 19:27:50
92,18,95,36.7,2021/03/05 19:27:53
90,16,93,37.2,2021/03/05 19:27:56
104,14,96,37.6,2021/03/05 19:27:59
99,17,96,36.5,2021/03/05 19:28:02
87,13,90,37.9,2021/03/05 19:28:05
64,20,94,37,2021/03/05 19:28:08
71,17,95,37.3,2021/03/05 19:28:11
98,22,92,36.3,2021/03/05 19:28:14
69,20,89,37.1,2021/03/05 19:28:17
68,21,92,37.6,2021/03/05 19:28:20
102,14,98,36.7,2021/03/05 19:28:23
69,17,96,37,2021/03/05 19:28:26
70,15,98,37.9,2021/03/05 19:28:29
94,20,97,36.4,2021/03/05 19:28:32
70,18,89,36.5,2021/03/05 19:28:35
102,19,95,37.1,2021/03/05 19:28:38
82,15,96,37.1,2021/03/05 19:28:41
70,14,94,37.7,2021/03/05 19:28:44
74,23,92,37.5,2021/03/05 19:28:47
112,18,95,37.7,2021/03/05 19:28:50
83,17,93,37,2021/03/05 19:28:53
80,23,90,37.8,2021/03/05 19:28:56
77,17,92,36.6,2021/03/05 19:28:59
110,20,93,36.4,2021/03/05 19:29:02
106,22,99,36,2021/03/05 19:29:05
69,21,96,37.4,2021/03/05 19:29:08
88,16,93,36.6,2021/03/05 19:29:11
110,17,92,36.2,2021/03/05 19:29:14
62,16,98,37,2021/03/05 19:29:17
101,23,90,37.9,2021/03/05 19:29:20
94,22,94,37.2,2021/03/05 19:29:23
90,16,93,36.6,2021/03/05 19:29:26
67,18,95,36.1,2021/03/05 19:29:29
65,23,94,37.1,2021/03/05 19:29:32
114,18,94,36.5,2021/03/05 19:29:35
96,21,95,36.7,2021/03/05 19:29:38
90,21,95,37.4,2021/03/05 19:29:41
95,21,94,37.5,2021/03/05 19:29:44
91,17,90,36.4,2021/03/05 19:29:47
88,20,94,36.9,2021/03/05 19:29:50
93,13,92,36.1,2021/03/05 19:29:53
113,18,92,37.9,2021/03/05 19:29:56
95,22,93,37.5,2021/03/05 19:29:59
67,16,98,37,2021/03/05 19:30:02
77,23,92,36.9,2021/03/05 19:30:05
67,14,95,37.9,2021/03/05 19:30:08
63,18,92,38,2021/03/05 19:30:11
95,14,98,37.9,2021/03/05 19:30:14
73,20,89,37,2021/03/05 19:30:17
66,16,97,37,2021/03/05 19:30:20
98,23,95,37.1,2021/03/05 19:30:23
101,23,88,37.1,2021/03/05 19:30:26
90,16,95,37.5,2021/03/05 19:30:29
105,14,97,36.8,2021/03/05 19:30:32
89,23,93,36.3,2021/03/05 19:30:35
72,24,92,36.4,2021/03/05 19:30:38
99,14,99,38,2021/03/05 19:30:41
67,17,94,36.2,2021/03/05 19:30:44
69,18,92,36.2,2021/03/05 19:30:47
74,18,92,36.7,2021/03/05 19:30:50
92,19,91,36.4,2021/03/05 19:30:53
71,16,91,36.9,2021/03/05 19:30:56
113,18,90,37.7,2021/03/05 19:30:59
89,18,90,38,2021/03/05 19:31:02
98,24,93,37.6,2021/03/05 19:31:05
